GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0046426	negative regulation of JAK-STAT cascade	1.19e-02	1.19e-02	1	DCN,CAV1,ASPN,LRRC4B,PODNL1,LRRC4C,SOCS5,LRRC15,PODN,BGN,FLRT2
GO:0001503	ossification	1.59e-14	1.59e-14	1	MRC2,IGF1,SNAI2,HGF,VCAN,FGFR3,GLI2,PTHLH,CHRD,SFRP1,CDK6,DLX5,ASPN,MGP,TGFB3,ACVR2A,TWIST1,SNAI1,RUNX2,BMP4,BMP2,CHSY1,LRP4,ITGA11,SEMA7A,CDH11,COL6A1,EPHA2,CYR61,ECM1,BMP6,FZD1,CREB3L1,SKI,RUNX1,DDR2,CLEC3B,GREM1,NPNT,S1PR1,ZHX3,SOX11,EXT1,TMEM119,NOG,ENPP1,TWIST2
GO:0030278	regulation of ossification	1.10e-08	1.10e-08	1	IGF1,SNAI2,HGF,CHRD,SFRP1,CDK6,TGFB3,ACVR2A,TWIST1,BMP4,BMP2,CHSY1,LRP4,CYR61,ECM1,BMP6,SKI,DDR2,GREM1,NPNT,S1PR1,ZHX3,SOX11,TMEM119,NOG,ENPP1,TWIST2
GO:0045778	positive regulation of ossification	4.28e-03	4.28e-03	1	IGF1,HGF,TGFB3,ACVR2A,BMP4,BMP2,CYR61,BMP6,DDR2,NPNT,ZHX3,SOX11,TMEM119
GO:0001649	osteoblast differentiation	8.89e-11	8.89e-11	1	MRC2,IGF1,SNAI2,HGF,VCAN,GLI2,PTHLH,CHRD,SFRP1,CDK6,DLX5,ACVR2A,TWIST1,SNAI1,RUNX2,BMP4,BMP2,ITGA11,SEMA7A,COL6A1,EPHA2,CYR61,BMP6,FZD1,CREB3L1,SKI,DDR2,NPNT,ZHX3,SOX11,TMEM119,NOG,TWIST2
GO:0045667	regulation of osteoblast differentiation	1.99e-06	1.99e-06	1	IGF1,SNAI2,HGF,CHRD,CDK6,ACVR2A,TWIST1,BMP4,BMP2,CYR61,BMP6,SKI,DDR2,NPNT,ZHX3,SOX11,TMEM119,NOG,TWIST2
GO:0031214	biomineral tissue development	4.49e-04	4.49e-04	1	IGF1,FGFR3,ASPN,COL1A1,TGFB3,ACVR2A,TWIST1,BMP4,BMP2,ECM1,BMP6,DDR2,CLEC3B,GREM1,S1PR1,FAM20C,TMEM119,ENPP1
GO:0070167	regulation of biomineral tissue development	2.01e-02	2.01e-02	1	ASPN,TGFB3,ACVR2A,TWIST1,BMP4,BMP2,ECM1,BMP6,DDR2,GREM1,S1PR1,TMEM119,ENPP1
GO:0030282	bone mineralization	9.29e-04	9.29e-04	1	IGF1,FGFR3,ASPN,TGFB3,ACVR2A,TWIST1,BMP4,BMP2,ECM1,BMP6,DDR2,CLEC3B,GREM1,S1PR1,TMEM119,ENPP1
GO:0030500	regulation of bone mineralization	2.61e-02	2.61e-02	1	TGFB3,ACVR2A,TWIST1,BMP4,BMP2,ECM1,BMP6,DDR2,GREM1,S1PR1,TMEM119,ENPP1
GO:0030279	negative regulation of ossification	2.00e-02	2.00e-02	1	CHRD,SFRP1,CDK6,TWIST1,CHSY1,LRP4,ECM1,SKI,GREM1,NOG,TWIST2
GO:0045669	positive regulation of osteoblast differentiation	2.09e-04	2.09e-04	1	IGF1,HGF,ACVR2A,BMP4,BMP2,CYR61,BMP6,DDR2,NPNT,ZHX3,SOX11,TMEM119
GO:0051961	negative regulation of nervous system development	3.99e-03	3.99e-03	1	NGFR,CRMP1,CHRD,SEMA5A,DPYSL3,RTN4,TNFRSF8,LRP4,DTX1,ITM2C,SLIT2,SPOCK1,THY1,SKI,COL3A1,SOX11,NOG,ROBO2,LPAR1,ARHGEF15
GO:0007162	negative regulation of cell adhesion	2.01e-03	2.01e-03	1	SNAI2,FBLN1,SERPINE1,GLI3,CXCL12,SEMA5A,TNFSF4,TGFBI,BMP4,BMP2,PODXL,CCL21,THBS1,CYP1B1,PHLDB2,CASK,SPOCK1,ANGPT1,FZD7,DLC1,SOCS5,C1QTNF1,MYADM,PRKG1,APOD
GO:0050918	positive chemotaxis	3.98e-02	3.98e-02	1	CXCL12,SEMA5A,F3,PGF,KDR,FGF7,VEGFC,ANGPT1,SCG2
GO:0032970	regulation of actin filament-based process	1.72e-03	1.72e-03	1	EPHA3,LIMA1,CNN2,FSCN1,ABL1,SFRP1,CAV1,CXCL12,SEMA5A,PDE4D,PDGFRB,CTGF,TGFB3,TEK,LRP1,PDGFRA,CCL21,TPM1,PHLDB2,SLIT2,IQGAP2,CACNA1C,CDC42EP3,LMOD1,DLC1,DAPK3,AKAP13,SYNPO2,MYADM,LPAR1,PLN,ARHGEF15,MAGEL2
GO:0051493	regulation of cytoskeleton organization	4.19e-02	4.19e-02	1	PHLDB1,EPHA3,LIMA1,FSCN1,CAPN6,ABL1,SFRP1,CXCL12,SEMA5A,PDGFRB,CTGF,TGFB3,TEK,LRP1,NES,PDGFRA,CCL21,TPM1,ANKRD53,PHLDB2,SLIT2,PLK2,IQGAP2,NEXN,CAPN2,CDC42EP3,LMOD1,DLC1,DAPK3,AKAP13,SYNPO2,MYADM,STMN3,LPAR1,ARHGEF15,MAGEL2
GO:0032956	regulation of actin cytoskeleton organization	1.52e-02	1.52e-02	1	EPHA3,LIMA1,FSCN1,ABL1,SFRP1,CXCL12,SEMA5A,PDGFRB,CTGF,TGFB3,TEK,LRP1,PDGFRA,CCL21,TPM1,PHLDB2,SLIT2,IQGAP2,CDC42EP3,LMOD1,DLC1,DAPK3,AKAP13,SYNPO2,MYADM,LPAR1,ARHGEF15,MAGEL2
GO:0048589	developmental growth	8.62e-03	8.62e-03	1	IGF1,FGFR3,EVC,GLI2,NRCAM,ABL1,SEMA5A,GHR,FGF1,RTN4,NRP2,BMP4,LRP4,SEMA7A,FGF7,NKD1,APP,SLIT2,NLGN4X,LATS2,DDR2,ISLR2,S1PR1,BASP1,GAS1,NOG,SLIT3,APOD
GO:0061061	muscle structure development	2.23e-05	2.23e-05	1	IGF1,EHD2,GPC1,SPEG,EVC,ABL1,DMPK,CAV1,AEBP1,PDGFRB,SDC1,TCF21,BMP4,BMP2,SYNE1,MYH11,PDGFRA,ITGA11,PRICKLE1,TPM1,NKD1,MEGF10,ADAM12,TAGLN,FZD7,MMP14,KIT,SKI,NEXN,COL6A3,HEY1,GREM1,ZFPM2,SGCD,AKAP13,S1PR1,BASP1,EGR3,FHL3,NOG,MAPK12,CACNA1H
GO:0042692	muscle cell differentiation	4.60e-02	4.60e-02	1	IGF1,EHD2,ABL1,DMPK,PDGFRB,SDC1,BMP4,BMP2,SYNE1,MYH11,PDGFRA,PRICKLE1,TPM1,MEGF10,ADAM12,FZD7,MMP14,KIT,SKI,NEXN,HEY1,GREM1,SGCD,AKAP13,MAPK12,CACNA1H
GO:0007517	muscle organ development	3.78e-03	3.78e-03	1	IGF1,GPC1,SPEG,EVC,CAV1,AEBP1,TCF21,BMP4,BMP2,ITGA11,TPM1,MEGF10,TAGLN,FZD7,SKI,COL6A3,GREM1,ZFPM2,SGCD,S1PR1,BASP1,EGR3,FHL3,NOG,MAPK12,CACNA1H
GO:0002576	platelet degranulation	3.87e-04	3.87e-04	1	IGF1,HGF,ACTN1,TIMP3,SERPINE1,RARRES2,VWF,SPARC,FN1,TGFB3,F13A1,ISLR,CD36,THBS1,MMRN1,APP,ECM1,VEGFC,CLEC3B,IGF2,SELP,CFD,F5
GO:0048736	appendage development	4.40e-03	4.40e-03	1	CYP26B1,PCSK5,COMP,GLI3,TWIST1,SOX4,BMP4,LRP4,AFF3,CACNA1C,SKI,GREM1,SOX11,NOG
GO:0060173	limb development	4.40e-03	4.40e-03	1	CYP26B1,PCSK5,COMP,GLI3,TWIST1,SOX4,BMP4,LRP4,AFF3,CACNA1C,SKI,GREM1,SOX11,NOG
GO:0033002	muscle cell proliferation	9.33e-03	9.33e-03	1	IGF1,MMP2,OGN,PDGFRB,FOXP1,IGFBP5,TGFB3,BMP4,CNN1,THBS1,TPM1,MEGF10,ANGPT1,PTGIR,NOG,APOD
GO:0048659	smooth muscle cell proliferation	2.01e-02	2.01e-02	1	IGF1,MMP2,OGN,PDGFRB,FOXP1,IGFBP5,TGFB3,BMP4,CNN1,THBS1,TPM1,PTGIR,APOD
GO:0048660	regulation of smooth muscle cell proliferation	1.33e-02	1.33e-02	1	IGF1,MMP2,OGN,PDGFRB,FOXP1,IGFBP5,TGFB3,BMP4,CNN1,THBS1,TPM1,PTGIR,APOD
GO:0090130	tissue migration	6.83e-06	6.83e-06	1	DCN,FLT4,BCAR1,FAP,SRPX2,ACTA2,SEMA5A,SPARC,FGF1,FOXP1,NRP2,TEK,NR4A1,PLCG1,BMP4,KDR,LOXL2,AGT,THBS1,CYP1B1,FGF7,EPHA2,RHOB,SLIT2,ANGPT1,KIT,ACTG2,GREM1,ZEB2,MCC,SCG2,EGR3,DPP4
GO:0090132	epithelium migration	5.64e-05	5.64e-05	1	DCN,FLT4,BCAR1,FAP,SRPX2,SEMA5A,SPARC,FGF1,FOXP1,NRP2,TEK,NR4A1,PLCG1,BMP4,KDR,LOXL2,AGT,THBS1,CYP1B1,FGF7,EPHA2,RHOB,SLIT2,ANGPT1,KIT,GREM1,ZEB2,MCC,SCG2,EGR3,DPP4
GO:0040017	positive regulation of locomotion	7.07e-10	7.07e-10	1	IGF1,SNAI2,HGF,FLT4,BCAR1,LAMB1,SRPX2,SERPINE1,RARRES2,CXCL12,SPOCK2,COL1A1,SEMA5A,SPARC,FGF1,PDGFRB,FOXP1,FN1,F3,NRP2,PGF,TEK,TWIST1,PLAU,PLCG1,SNAI1,BMP4,BMP2,EDN2,KDR,PODXL,PDGFRA,AGT,CCL21,THBS1,FGF7,CYR61,RHOB,SLIT2,ADRA2A,VEGFC,DAB2,ANGPT1,MMP14,DDR2,ROR2,HAS2,PDGFD,SCG2,LRRC15,SPHK1,MYADM,F2R
GO:0001667	ameboidal-type cell migration	6.54e-04	6.54e-04	1	DCN,FLT4,BCAR1,FAP,SRPX2,SEMA5A,SPARC,FGF1,FOXP1,NRP2,TEK,NR4A1,PLCG1,BMP4,KDR,LOXL2,AGT,THBS1,CYP1B1,FGF7,EPHA2,RHOB,SLIT2,ANGPT1,KIT,DDR2,GREM1,ZEB2,MCC,SCG2,EGR3,DPP4
GO:0010631	epithelial cell migration	4.37e-05	4.37e-05	1	DCN,FLT4,BCAR1,FAP,SRPX2,SEMA5A,SPARC,FGF1,FOXP1,NRP2,TEK,NR4A1,PLCG1,BMP4,KDR,LOXL2,AGT,THBS1,CYP1B1,FGF7,EPHA2,RHOB,SLIT2,ANGPT1,KIT,GREM1,ZEB2,MCC,SCG2,EGR3,DPP4
GO:0043542	endothelial cell migration	2.99e-06	2.99e-06	1	DCN,FLT4,BCAR1,FAP,SRPX2,SEMA5A,SPARC,FGF1,FOXP1,NRP2,TEK,NR4A1,PLCG1,BMP4,KDR,LOXL2,AGT,THBS1,CYP1B1,EPHA2,RHOB,SLIT2,ANGPT1,GREM1,SCG2,EGR3,DPP4
GO:0051272	positive regulation of cellular component movement	4.95e-10	4.95e-10	1	IGF1,SNAI2,HGF,FLT4,BCAR1,LAMB1,SRPX2,SERPINE1,RARRES2,CXCL12,SPOCK2,COL1A1,SEMA5A,SPARC,FGF1,PDGFRB,FOXP1,FN1,F3,NRP2,PGF,TEK,TWIST1,PLAU,PLCG1,SNAI1,BMP4,BMP2,EDN2,KDR,PODXL,PDGFRA,AGT,CCL21,THBS1,FGF7,CYR61,RHOB,ADRA2A,VEGFC,DAB2,ANGPT1,MMP14,PDPN,DDR2,ROR2,HAS2,PDGFD,LRRC15,SPHK1,MYADM,F2R
GO:2000147	positive regulation of cell motility	6.54e-10	6.54e-10	1	IGF1,SNAI2,HGF,FLT4,BCAR1,LAMB1,SRPX2,SERPINE1,RARRES2,CXCL12,SPOCK2,COL1A1,SEMA5A,SPARC,FGF1,PDGFRB,FOXP1,FN1,F3,NRP2,PGF,TEK,TWIST1,PLAU,PLCG1,SNAI1,BMP4,BMP2,EDN2,KDR,PODXL,PDGFRA,AGT,CCL21,THBS1,FGF7,CYR61,RHOB,ADRA2A,VEGFC,DAB2,ANGPT1,MMP14,DDR2,ROR2,HAS2,PDGFD,LRRC15,SPHK1,MYADM,F2R
GO:0030335	positive regulation of cell migration	2.50e-09	2.50e-09	1	IGF1,SNAI2,HGF,FLT4,BCAR1,LAMB1,SRPX2,SERPINE1,RARRES2,CXCL12,COL1A1,SEMA5A,SPARC,FGF1,PDGFRB,FOXP1,FN1,F3,NRP2,PGF,TEK,PLAU,PLCG1,SNAI1,BMP4,BMP2,EDN2,KDR,PODXL,PDGFRA,AGT,CCL21,THBS1,FGF7,CYR61,RHOB,ADRA2A,VEGFC,DAB2,ANGPT1,MMP14,DDR2,ROR2,HAS2,PDGFD,LRRC15,SPHK1,MYADM,F2R
GO:0010634	positive regulation of epithelial cell migration	6.58e-03	6.58e-03	1	FLT4,BCAR1,SRPX2,SEMA5A,SPARC,FGF1,FOXP1,NRP2,TEK,PLCG1,BMP4,KDR,AGT,THBS1,FGF7,RHOB,ANGPT1
GO:0010594	regulation of endothelial cell migration	2.72e-03	2.72e-03	1	DCN,FLT4,BCAR1,SRPX2,SEMA5A,SPARC,FGF1,FOXP1,NRP2,TEK,PLCG1,BMP4,KDR,AGT,THBS1,EPHA2,RHOB,SLIT2,ANGPT1
GO:0010595	positive regulation of endothelial cell migration	1.09e-04	1.09e-04	1	FLT4,BCAR1,SRPX2,SEMA5A,SPARC,FGF1,FOXP1,NRP2,TEK,PLCG1,BMP4,KDR,AGT,THBS1,RHOB,ANGPT1
GO:0070371	ERK1 and ERK2 cascade	2.77e-02	2.77e-02	1	IGF1,FLT4,FGFR3,FBLN1,TIMP3,FGF1,PDGFRB,FN1,CTGF,TEK,BMP2,KDR,PDGFRA,CD36,SPRY2,CCL21,SEMA7A,EPHA2,CYR61,ANGPT1,SPRY1,HAND2,NPNT,PDGFD,F2R,PLA2G2A,CCL14
GO:0070372	regulation of ERK1 and ERK2 cascade	2.91e-02	2.91e-02	1	FLT4,FGFR3,FBLN1,TIMP3,FGF1,PDGFRB,FN1,CTGF,TEK,BMP2,KDR,PDGFRA,CD36,SPRY2,CCL21,SEMA7A,EPHA2,CYR61,ANGPT1,SPRY1,HAND2,NPNT,PDGFD,F2R,PLA2G2A,CCL14
GO:0045785	positive regulation of cell adhesion	3.42e-02	3.42e-02	1	FYN,IGF1,FSTL3,GLI2,COL16A1,CHRD,CD276,SFRP1,CDK6,CAV1,GLI3,CXCL12,FN1,TNFSF4,TEK,KDR,PODXL,CD36,CCL21,TPM1,SFRP2,THY1,VCAM1,TGFBR2,IGF2,NPNT,HAS2,SOCS5,MYADM,DPP4,TGM2
GO:0033627	cell adhesion mediated by integrin	3.90e-06	3.90e-06	1	SNAI2,COL16A1,SERPINE1,PLAU,PODXL,CCL21,ITGA11,CYP1B1,EPHA2,SFRP2,ITGB1,ITGA5,ITGA2,FBN1,NPNT,DPP4
GO:0034330	cell junction organization	1.56e-06	1.56e-06	1	SNAI2,EPHA3,ACTN1,FERMT2,FSCN1,COL16A1,SORBS1,SFRP1,CAV1,CNTNAP1,TGFB3,TEK,SNAI1,KDR,FLNC,AGT,THBS1,KIFC3,CDH11,PHLDB2,NLGN4X,GJA1,THY1,FBLIM1,DLC1,GJB2,DAPK3,NLGN2,PARD6G,PLEC,CDH5,GJC1,CLDN5,KRT5,APOD
GO:0045216	cell-cell junction organization	1.15e-05	1.15e-05	1	SNAI2,EPHA3,ACTN1,FERMT2,FSCN1,COL16A1,SORBS1,SFRP1,CAV1,CNTNAP1,TGFB3,TEK,SNAI1,KDR,AGT,THBS1,KIFC3,CDH11,PHLDB2,NLGN4X,GJA1,THY1,DLC1,GJB2,DAPK3,NLGN2,PARD6G,CDH5,GJC1,CLDN5,APOD
GO:0031589	cell-substrate adhesion	1.76e-10	1.76e-10	1	EPHA3,ACTN1,FERMT2,FBLN1,COL16A1,LAMB1,SORBS1,SFRP1,CDK6,SERPINE1,ECM2,VWF,FN1,TEK,PLAU,KDR,LYVE1,CD36,CCL21,THBS1,ITGA11,FBLN5,ITGA10,PHLDB2,CASK,ITGB1,ADAMTS12,SPOCK1,THY1,FZD7,ITGA5,VCAM1,ITGA2,DLC1,DAPK3,COL3A1,NPNT,ANTXR1,CD34,MYADM,APOD,ITGA1
GO:0007160	cell-matrix adhesion	2.41e-09	2.41e-09	1	EPHA3,ACTN1,FERMT2,COL16A1,SORBS1,SFRP1,CDK6,SERPINE1,ECM2,TEK,PLAU,KDR,LYVE1,CD36,CCL21,THBS1,ITGA11,FBLN5,ITGA10,PHLDB2,CASK,ITGB1,ADAMTS12,THY1,VCAM1,ITGA2,DLC1,DAPK3,COL3A1,NPNT,CD34,APOD,ITGA1
GO:0010810	regulation of cell-substrate adhesion	2.99e-04	2.99e-04	1	EPHA3,FBLN1,COL16A1,SFRP1,CDK6,SERPINE1,FN1,TEK,PLAU,KDR,CD36,CCL21,THBS1,PHLDB2,CASK,SPOCK1,FZD7,DLC1,DAPK3,NPNT,MYADM,APOD
GO:0001952	regulation of cell-matrix adhesion	9.29e-04	9.29e-04	1	EPHA3,COL16A1,SFRP1,CDK6,SERPINE1,TEK,PLAU,KDR,CD36,CCL21,THBS1,PHLDB2,CASK,DLC1,DAPK3,APOD
GO:0034329	cell junction assembly	2.07e-06	2.07e-06	1	SNAI2,EPHA3,ACTN1,FERMT2,FSCN1,COL16A1,SORBS1,SFRP1,CAV1,CNTNAP1,TEK,SNAI1,KDR,FLNC,AGT,THBS1,PHLDB2,GJA1,THY1,FBLIM1,DLC1,GJB2,DAPK3,PARD6G,PLEC,CDH5,GJC1,CLDN5,KRT5,APOD
GO:0007044	cell-substrate junction assembly	5.98e-04	5.98e-04	1	EPHA3,ACTN1,FERMT2,COL16A1,SORBS1,SFRP1,TEK,KDR,THBS1,PHLDB2,THY1,DLC1,DAPK3,PLEC,KRT5,APOD
GO:0034333	adherens junction assembly	8.29e-03	8.29e-03	1	EPHA3,ACTN1,FERMT2,COL16A1,SORBS1,SFRP1,TEK,KDR,THBS1,PHLDB2,THY1,DLC1,DAPK3,APOD
GO:0007045	cell-substrate adherens junction assembly	1.76e-03	1.76e-03	1	EPHA3,ACTN1,FERMT2,COL16A1,SORBS1,SFRP1,TEK,KDR,THBS1,PHLDB2,THY1,DLC1,DAPK3,APOD
GO:0048041	focal adhesion assembly	1.76e-03	1.76e-03	1	EPHA3,ACTN1,FERMT2,COL16A1,SORBS1,SFRP1,TEK,KDR,THBS1,PHLDB2,THY1,DLC1,DAPK3,APOD
GO:1901888	regulation of cell junction assembly	3.53e-03	3.53e-03	1	SNAI2,EPHA3,COL16A1,SFRP1,CAV1,TEK,SNAI1,KDR,AGT,THBS1,PHLDB2,DLC1,DAPK3,APOD
GO:1901136	carbohydrate derivative catabolic process	3.13e-03	3.13e-03	1	DCN,VCAN,GPC1,OGN,PDE4D,SDC1,FMOD,NUDT10,OMD,LYVE1,NT5E,PDE5A,LUM,HSPG2,ADAMTS12,CDA,ADAMTS9,SDC2,CSPG4,BGN,GPC6,PDE2A,NUDT11
GO:0006022	aminoglycan metabolic process	2.13e-07	2.13e-07	1	DCN,VCAN,GPC1,NDST1,XYLT1,OGN,B3GAT1,DSE,SDC1,FMOD,CHST3,CHPF,OMD,CHSY1,LYVE1,GALNT5,LUM,HSPG2,HS2ST1,ANGPT1,SDC2,HAS2,DSEL,CSPG4,CHST15,EXT1,BGN,GPC6,CHSY3
GO:0006026	aminoglycan catabolic process	2.23e-03	2.23e-03	1	DCN,VCAN,GPC1,OGN,SDC1,FMOD,OMD,LYVE1,LUM,HSPG2,SDC2,CSPG4,BGN,GPC6
GO:0030203	glycosaminoglycan metabolic process	9.80e-08	9.80e-08	1	DCN,VCAN,GPC1,NDST1,XYLT1,OGN,B3GAT1,DSE,SDC1,FMOD,CHST3,CHPF,OMD,CHSY1,LYVE1,GALNT5,LUM,HSPG2,HS2ST1,ANGPT1,SDC2,HAS2,DSEL,CSPG4,CHST15,EXT1,BGN,GPC6,CHSY3
GO:1903510	mucopolysaccharide metabolic process	4.06e-04	4.06e-04	1	DCN,VCAN,OGN,B3GAT1,DSE,FMOD,CHST3,CHPF,OMD,CHSY1,LYVE1,LUM,ANGPT1,HAS2,DSEL,CSPG4,CHST15,BGN,CHSY3
GO:0006027	glycosaminoglycan catabolic process	1.38e-03	1.38e-03	1	DCN,VCAN,GPC1,OGN,SDC1,FMOD,OMD,LYVE1,LUM,HSPG2,SDC2,CSPG4,BGN,GPC6
GO:0006023	aminoglycan biosynthetic process	1.67e-09	1.67e-09	1	DCN,VCAN,GPC1,NDST1,XYLT1,OGN,B3GAT1,DSE,SDC1,FMOD,CHST3,CHPF,OMD,CHSY1,GALNT5,LUM,HSPG2,HS2ST1,ANGPT1,SDC2,HAS2,DSEL,CSPG4,CHST15,EXT1,BGN,GPC6,CHSY3
GO:0006024	glycosaminoglycan biosynthetic process	1.29e-09	1.29e-09	1	DCN,VCAN,GPC1,NDST1,XYLT1,OGN,B3GAT1,DSE,SDC1,FMOD,CHST3,CHPF,OMD,CHSY1,GALNT5,LUM,HSPG2,HS2ST1,ANGPT1,SDC2,HAS2,DSEL,CSPG4,CHST15,EXT1,BGN,GPC6,CHSY3
GO:0030208	dermatan sulfate biosynthetic process	3.62e-02	3.62e-02	1	DCN,VCAN,DSE,DSEL,CSPG4,BGN
GO:0006029	proteoglycan metabolic process	8.37e-06	8.37e-06	1	DCN,IGF1,VCAN,GPC1,NDST1,B3GAT1,DSE,CHST3,CHPF,CHSY1,ADAMTS12,DSEL,CSPG4,CHST15,EXT1,BGN,SULF2,CHSY3
GO:0050654	chondroitin sulfate proteoglycan metabolic process	8.95e-03	8.95e-03	1	DCN,VCAN,B3GAT1,CHST3,CHPF,CHSY1,CSPG4,CHST15,BGN,CHSY3
GO:0030204	chondroitin sulfate metabolic process	4.60e-03	4.60e-03	1	DCN,VCAN,B3GAT1,CHST3,CHPF,CHSY1,CSPG4,CHST15,BGN,CHSY3
GO:0030166	proteoglycan biosynthetic process	3.44e-05	3.44e-05	1	DCN,IGF1,VCAN,NDST1,B3GAT1,DSE,CHST3,CHPF,CHSY1,DSEL,CSPG4,CHST15,EXT1,BGN,CHSY3
GO:0050650	chondroitin sulfate proteoglycan biosynthetic process	6.39e-04	6.39e-04	1	DCN,VCAN,B3GAT1,CHST3,CHPF,CHSY1,CSPG4,CHST15,BGN,CHSY3
GO:0030206	chondroitin sulfate biosynthetic process	7.59e-04	7.59e-04	1	DCN,VCAN,CHST3,CHPF,CHSY1,CSPG4,CHST15,BGN,CHSY3
GO:0060412	ventricular septum morphogenesis	3.48e-02	3.48e-02	1	SOX4,BMP4,TGFBR2,HEYL,HEY1,ZFPM2,SOX11,NOG
GO:0007492	endoderm development	3.31e-06	3.31e-06	1	COL11A1,MMP2,LAMB1,COL12A1,COL7A1,FN1,DUSP1,INHBA,COL5A1,COL4A2,COL6A1,COL8A1,HMGA2,MMP14,ITGA5,SOX7,COL5A2
GO:0048598	embryonic morphogenesis	1.80e-13	1.80e-13	1	CYP26B1,PHLDB1,COL11A1,GLI2,MMP2,LAMB1,FOXF1,HOXA1,GLI3,COL12A1,COL7A1,EFEMP1,FN1,MFAP2,TCF21,PKD2,DUSP1,INHBA,TWIST1,SNAI1,SOX4,BMP4,SMO,COL5A1,PDGFRA,COL4A2,PRICKLE1,COL6A1,AFF3,COL8A1,PHLDB2,CRB2,HMGA2,ITGB1,CACNA1C,FZD7,MMP14,SKI,ITGA5,TGFBR2,ITGA2,DLC1,DACT1,FBN1,SIX2,SOX7,SOX11,MYADM,NOG,ALDH1A3,COL5A2
GO:0007369	gastrulation	6.71e-09	6.71e-09	1	PHLDB1,COL11A1,MMP2,LAMB1,COL12A1,COL7A1,FN1,DUSP1,INHBA,SNAI1,BMP4,COL5A1,COL4A2,COL6A1,COL8A1,PHLDB2,CRB2,HMGA2,ITGB1,FZD7,MMP14,ITGA5,ITGA2,SIX2,SOX7,MYADM,COL5A2
